"Development.Name","TDSNumber","Borough","Current.Charges","Total.HCF","Revenue.Month.clean","DateTime","Year"
"EAST 173RD STREET-VYSE AVENUE",338,"BRONX",5486.55,1269,"12/01/2017 12:00:00 ",2017-12-01,2017
"RALPH AVENUE REHAB",352,"BROOKLYN",2881.43,882,"12/01/2017 12:00:00 ",2017-12-01,2017
"RALPH AVENUE REHAB",352,"BROOKLYN",2595.26,850,"12/01/2017 12:00:00 ",2017-12-01,2017
"RALPH AVENUE REHAB",352,"BROOKLYN",3670.86,1025,"12/01/2017 12:00:00 ",2017-12-01,2017
"RALPH AVENUE REHAB",352,"BROOKLYN",6137.83,1351,"12/01/2017 12:00:00 ",2017-12-01,2017
"QUEENSBRIDGE SOUTH",5,"QUEENS",3562.31,1013,"12/01/2017 12:00:00 ",2017-12-01,2017
"QUEENSBRIDGE NORTH",505,"QUEENS",6769.38,1421,"12/01/2017 12:00:00 ",2017-12-01,2017
"POLO GROUNDS TOWERS",149,"MANHATTAN",197.36,780,"12/01/2017 12:00:00 ",2017-12-01,2017
"PARK ROCK REHAB",351,"BROOKLYN",3996.5,1090,"12/01/2017 12:00:00 ",2017-12-01,2017
"PARK ROCK REHAB",351,"BROOKLYN",3542.58,1010,"12/01/2017 12:00:00 ",2017-12-01,2017
"OCEAN HILL-BROWNSVILLE",313,"BROOKLYN",4904.35,1192,"12/01/2017 12:00:00 ",2017-12-01,2017
"OCEAN HILL-BROWNSVILLE",313,"BROOKLYN",5269.46,1245,"12/01/2017 12:00:00 ",2017-12-01,2017
"OCEAN BAY APARTMENTS (OCEANSIDE)",51,"QUEENS",38.07,2,"12/01/2017 12:00:00 ",2017-12-01,2017
"OCEAN BAY APARTMENTS (OCEANSIDE)",51,"QUEENS",38.07,2,"12/01/2017 12:00:00 ",2017-12-01,2017
"OCEAN BAY APARTMENTS (OCEANSIDE)",51,"QUEENS",38.07,2,"12/01/2017 12:00:00 ",2017-12-01,2017
"OCEAN BAY APARTMENTS (OCEANSIDE)",51,"QUEENS",38.07,2,"12/01/2017 12:00:00 ",2017-12-01,2017
"BAISLEY PARK",91,"QUEENS",8071.94,1579,"12/01/2017 12:00:00 ",2017-12-01,2017
"WILLIAMSBURG",2,"BROOKLYN",34.27,2,"12/01/2017 12:00:00 ",2017-12-01,2017
"BAISLEY PARK",91,"QUEENS",493.4,1207,"12/01/2017 12:00:00 ",2017-12-01,2017
"BAISLEY PARK",91,"QUEENS",6206.91,1358,"12/01/2017 12:00:00 ",2017-12-01,2017
"WILLIAMSBURG",2,"BROOKLYN",98.68,495,"12/01/2017 12:00:00 ",2017-12-01,2017
"INTERNATIONAL TOWER",316,"QUEENS",10331.69,42,"12/01/2017 12:00:00 ",2017-12-01,2017
"WILLIAMSBURG",2,"BROOKLYN",266.43,857,"12/01/2017 12:00:00 ",2017-12-01,2017
"BERRY STREET-SOUTH 9TH STREET",357,"BROOKLYN",5456.95,1266,"12/01/2017 12:00:00 ",2017-12-01,2017
"WEST FARMS ROAD REHAB",360,"BRONX",42806.95,1071,"12/01/2017 12:00:00 ",2017-12-01,2017
"BETANCES III, 9A",222,"BRONX",5249.72,1243,"12/01/2017 12:00:00 ",2017-12-01,2017
"BETANCES III, 9A",222,"BRONX",38.07,2,"12/01/2017 12:00:00 ",2017-12-01,2017
"WEST FARMS ROAD REHAB",360,"BRONX",6591.76,1401,"12/01/2017 12:00:00 ",2017-12-01,2017
"BETANCES VI",285,"BRONX",296.04,945,"12/01/2017 12:00:00 ",2017-12-01,2017
"WEST FARMS ROAD REHAB",360,"BRONX",5989.82,1334,"12/01/2017 12:00:00 ",2017-12-01,2017
"INGERSOLL",14,"BROOKLYN",38.07,2,"12/01/2017 12:00:00 ",2017-12-01,2017
"BUSHWICK II (GROUPS A & C)",302,"BROOKLYN",2200.54,806,"12/01/2017 12:00:00 ",2017-12-01,2017
"154 WEST 84TH STREET",359,"MANHATTAN",2980.11,948,"12/01/2017 12:00:00 ",2017-12-01,2017
"BUSHWICK II (GROUPS B & D)",303,"BROOKLYN",315.77,967,"12/01/2017 12:00:00 ",2017-12-01,2017
"BUSHWICK II CDA (GROUP E)",324,"BROOKLYN",12581.57,190,"12/01/2017 12:00:00 ",2017-12-01,2017
"WASHINGTON HEIGHTS REHAB PHASE IV (C)",330,"MANHATTAN",2851.82,878,"12/01/2017 12:00:00 ",2017-12-01,2017
"BUSHWICK II CDA (GROUP E)",324,"BROOKLYN",10084.99,618,"12/01/2017 12:00:00 ",2017-12-01,2017
"BUSHWICK II CDA (GROUP E)",324,"BROOKLYN",523,1240,"12/01/2017 12:00:00 ",2017-12-01,2017
"WASHINGTON HEIGHTS REHAB PHASE IV (C)",330,"MANHATTAN",177.62,588,"12/01/2017 12:00:00 ",2017-12-01,2017
"WASHINGTON HEIGHTS REHAB PHASE III",523,"MANHATTAN",2713.67,863,"12/01/2017 12:00:00 ",2017-12-01,2017
"CLAREMONT REHAB (GROUP 2)",307,"BRONX",38.07,890,"12/01/2017 12:00:00 ",2017-12-01,2017
